ID,Initial,MostCommonName,ScientificName,Type,Description,CommonName1,CommonName2,CommonName3,CommonName4,Leaves1,Leaves2,Leaves3,Leaves4,Bark1,Bark2,Bark3,Bark4,Flowers1,Flowers2,Flowers3,Flowers4,Fruits1,Fruits2,Fruits3,Fruits4,Link1,Link2,Location,Map
48,K,Karanj,Millettia pinnata,Deciduous,"Karanj belongs to pea family Fabaceae. Native in tropical and temperate Asia including parts of Indian subcontinent, China, Japan, Malaysia, Australia and Pacific islands. Grows to about 15 to 25m in height with a large canopy which spreads equally wide. Karanj is increasingly used for oil production due to its use in biodiesel. In India, karanj has been traditionally used by villagers on slopy uplands to bind the soil. ",Indian Beech Tree,Pongam Tree,Pongam Oil Tree,Honge Tree,"Compound, pinnate, alternate",Shiny burgundy when young,"Glossy, deep green as they mature","Rounded at base, obtuse acuminate at apex","Smooth, crooked trunk",Grey brown in color,Vertically fissured,,"White, purple, pink with strong fragrance","Calyx is bell shaped, corolla is rounded ovate",Raceme like inflorescence has 2 to 4 flowers,Blossoming throughout the year,"Thick walled, smooth, brown seed pods",Take 10 to 11 months to mature,"Flattened, elliptical and slightly curved",1 or 2 bean-like brownish-red seeds,"<iframe width=""834"" height=""480"" src=""https://www.youtube.com/embed/i0t6LKdxJWE"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",,"Near Campus hub, near H4, H8 and H3","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1JR1kwIdeBAiXkzPt_Up9-nmS8PaMdY6E"" width=""640"" height=""480""></iframe>"
49,K,Kassod,Senna siamea,Evergreen,"Siamese Cassia is a small to medium sized tree, 15 to 20 m tall, with a short bole and low branching high crown, belongs to Caesalpiniaceae family.(Gulmohar family) Native to South and Southeast Asia. Kassod starts flowering and fruiting at the age of 2-3 years. Once established, it flowers precociously and abundantly throughout the year. It is often used as shade tree in cocoa, coffee and tea plantations. ",Siamese cassia,Yellow Cassia ,Siamese Senna,Black Wood Cassia,"Compound, pinnate, alternate",Upper side is dark green and shiny,Oblong leaflets present in 6 to 12 pairs,Rounded at base and apex,"Smooth, hard trunk",Dark brown to black ,Fissures with age,,"Bright yellow, 3 to 3.5 cm in diameter",Clustered at the ends of twigs,Racemes are 15 to 30cm long,5 petalled with imbricate sepals,"Flat, narrow and long pods","Glabrous, dark brown, slightly curved ","5 to 25cm long, 12 to 20mm broad","Bean shaped, shiny, dark brown seeds",,,"Near H5,H4 and H3, near library",
50,K,Katesawar,Bombax ceiba,Deciduous,"Katesawar grows to an average of 20 meters, with old trees up to 60 meters in wet tropical regions. Native to India, tropical southern Asia, northern Australia and tropical Africa The trunk and limb bear numerous conical spines particularly when young, but get eroded when older. The flowers are very attractive to local wildlife. Honey bees, and bumble bees also attracted to the flowers to collect pollen and nectar. ",Semal,Shalmali,Red Silk Cotton,Kapok,"Palmate, compound, elliptic ovate",5 to 7 leaflets radiate from centre,"Lamina is 7 to 10cm wide, 13 to 15cm long.",Entire margin with 8 to 14 pairs of lateral nerves,Grey to whitish brown,Armed with conical prickles,Fissures vertically,,"Dark crimson red, silky inside",They are bisexual,"5 petalled, fleshy, elliptic to obvate",Flowering from January to March,Cylindrical capsule upto 13cm long,Blackish and glabrous at maturity,Seeds are embeded in white cotton,"Dark brown, smooth seeds","<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/I0nKhTUY1lQ?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=I0nKhTUY1lQ&index=7&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Behind basketball court, near Tpoint, near H6, near library","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1pcy5hst6e-MdiD2svQHvY5IdBz9WrNDI"" width=""640"" height=""480""></iframe>"
51,K,Khair,Acacia catechu,Deciduous,"Senegalia Catechu is a thorny tree which grows up to 15m in height, and found in Asia, China, India and the Indian Ocean area. Branches of the tree are quite often cut for goat fodder and are sometimes fed to cattle. The tree's seeds are a good source of protein.The tree is often planted for use as firewood and charcoal, and its wood is highly valued for furniture and tools.",Cutch Tree,Black Cutch,Catechu Tree,Dant Dhavan,"Pinnate, compound, alternate",9-30 pairs of pinnae and a glandular rachis,"Each pinnae has 16-50 pairs of oblong linear leaflets, 2-6 mm long",Glabrous or pubescent leaves,Dark grey or greyish brown,"Rough, reddish brown from inside","Exfoliating in long, narrow rectangular strips",,White to pale yellow with 5 petals,Borne in 5-10 cm long axillary spikes,Petal is 2.5 to 3mm long,Flowering from April to May,"Flat, straight pod, tapering at both ends","Shiny, brown, bursts open",Contains 3 to 10 seeds,Seeds are broadly ovoid,,,Beside Convo hall(Westside),
52,K,Khajur,Phoenix sylvestris,Evergreen,"Wild Date Palm is the wild cousin of the better known Date Palm. It is a species of flowering plant in the palm family native to southern Pakistan, most of India, Sri Lanka, Nepal, Bhutan, Burma and Bangladesh. It ranges from 4 to 15 m in height and about 40 cm in diameter. The fruit from this palm species is used to make wine and jelly. It has gained popularity in recent times as an ornamental tree in urban landscapes. ",Wild Date Palm,Sugar Palm,Sendhi,Kharik,"Compound, alternate,  spiral",Ovate or elliptic ovate with entire margin,"Lamina 5.5-11.5 x 2-5 cm, articulate at apex","Rounded at base, obtuse to rounded at base","Rough, hard trunk",Greyish brown,"Rough, scaly with round scars",,"Small, fragrant, borne in spadices",They are unisexual,"Male flowers are white, female flowers are greenish",Flowering from March to May,Fruit is a oblong ellipsoid berry,Ripened fruit is purple red,Each fruit contains 1 seed,Seed is deeply groved with round ends,,,"Near H6, near new SAC building and near T point","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1ROp9ZsEDz9kRhEn3lbmXdHOClcBdirgd"" width=""640"" height=""480""></iframe>"
53,L,Lemon,Citrus limon,Evergreen,"Lemon, is a small tree in the Rutaceae (citrus family) that originated in Asia (likely India and Pakistan) It grows up to 6 m (20 ft) tall, and has stout spines. It is now grown commercially worldwide in tropical, semi-tropical, and warm temperate countries, including the Mediterranean region, for the fruit, which is used fresh and in beverages and cooking, and is also used as a preservative due to its anti-oxidant properties.",Acid lemon,Nimbu,Periyaelumichai,Champra,"Simple, alternate, leathery",Oblong to elliptic in shape,"Dark green above, light green below",Petioles(Leaf stems) are generally slender winged,"Smooth, grey brown ",Contains sharp thorns on twigs,Vertically striated,,Flower buds are purplish,Mature flower is white with 4 to 5 petals,Male and female flowers on same plant,Flowering throught the year,"Smooth, dotted with oil glands",Globose to oblong in shape,"Green when unripe, yellow when ripe",Juice is high in citric acid and vitamin C,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/ianLc1wzkkU?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=ianLc1wzkkU&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=16,"Inside H9, H6, NSS nursery",
54,M,Mango,Mangifera indica,Evergreen,"Mangifera indica, commonly known as mango, is a species of flowering plant in the family Anacardiaceae. It is native to the Indian subcontinent, where it is indigenous. Hundreds of cultivated varieties have been introduced to other warm regions of the world. It is a large fruit tree, capable of a growing to a height and crown width of about 30m and trunk circumference of more than 3.5m. Mango is the national fruit of India, Pakistan and Philippines.",Cukoo's joy,Amba,Aam,Mamidi,"Compound, pinnate, opposite","Estipellat, base oblique","Lamina 4.5-7.5 cm, petiolule 3-5 mm long","Apex acuminate, 10-18 pairs of lateral nerves","Smooth, hard trunk, thick",Dark greyish brown,Vertically striated,,Reddish pink to greenish white flowers,"Male, female and bisexual flowers on the same plant",Borne in upto 30cm long inflorescence,Flowering from March to May,"5 to 15cm long drupe, green when unripe",Yellowish orange red when ripe,Fleshy mesocarp with fibrous endocarp,"Single, large, ovoid oblong seed","<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/9d5hAYq5sfM?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=9d5hAYq5sfM&index=17&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Present all over the institute, especially near old SAC ","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1_8g5uPFjl4jCiyrb8aDR5YFDT3ELkIUa"" width=""640"" height=""480""></iframe>"
55,N,Neem,Azadirachta indica,Evergreen,"Neem  is a tree in the mahogany family Meliaceae. It is one of two species in the genus Azadirachta, and is native to the Indian subcontinent. It is the state tree of Andhra Pradesh. Neem is a fast growing tree that can reach a height of 15 to 20m, rarely to 35 to 40m. The fairly dense crown is roundish or oval and may reach the diameter of 15 to 20 m in old, free-standing specimens. Its fruits and seeds are the source of neem oil.",Margosa tree,Indian Lilac,Kadunimb,Vepa,"Simple, pinnate, alternate","Elliptic-ovate, bluish green","Lamina 10-34 cm, petiole to 30 mm","Apex acute, margin entire, lateral nerves many","Rough, hard trunk, thick",Dark greyish brown,Exfoliates in large brown flakes,,"White, fragrant with 5 petals","Bisexual, arranged axillary drooping panicles",Inforescence bears upto 150 to 250 flowers,Flowering from February to April,Fruit is a drupe,Elongate oval to round,Greenish yellow with sweet bitter pulp,Each fruit contains 1 seed,,,"Beside NSS nursery, beside ED building(Westside)","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1inV009S84cHg9usNBbtXs987WM3AopFP"" width=""640"" height=""480""></iframe>"
56,N,Nilgiri,Eucalyptus globulus,Evergreen,"Eucalyptus is an aromatic tree in the Myrtle Family (Myrtaceae) which commonly attains a height of 45 to 60m and a diameter of 1 to 2m. It is one of the most widely cultivated trees native to Australia. Its rapid growth and adaptability to a range of conditions is responsible for its popularity. It is especially well-suited to countries with a Mediterranean-type climate, but also grows well in high altitudes in the tropics.",Eucalyptus,Blur Gum,Tasmanian bluegum,Yukali,"Compound, pinnate, alternate","Waxy, glossy green, lwathery","Oblong, obtuse base, acuminate apex",Prominant 4 to 8 pairs of  lateral nerves ,"Smooth, hard trunk ","White, pinkish brown ",Exfoliates in long white or brown strips,,"White, creamy, 4.5 to 5cm in diameter",Borne singly in leaf axils,Produce nectar that yields strongly flavoured honey,Flowering from December to May,"Hard, woody capsule",1.5 to 2.5cm in diameter,3 to 6 seeds present per fruit,Seeds are dark brown with a brownish red chaff,,,"Westside of T point to H1 road, near new SAC building","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1wARmkmysjFRYHgLiuMlWxXWH5wUz2Bqy"" width=""640"" height=""480""></iframe>"
57,P,Palas,Butea monosperma,Deciduous,"Palas is a tree species, native to tropical and sub-tropical parts of the Indian Subcontinent and Southeast Asia. A Medium-sized dry season-deciduous tree, growing to 15 m tall. It is a slow growing tree, young trees have a growth rate of a few feet per year. It is said that the tree is a form of Agni, God of Fire. In Telangana, flowers of this tree are specially used in the worship of Lord Shiva on occasion of Shivratri. Telugu, this tree is called Modugu chettu.In villages of many parts of India, for example in Maharashtra, this tree provides leaves that are used either with many pieced together to make a leaf-plate for serving a meal over",Bastard Teak,Flame of the Forest,Battle of Plassey Tree,Palash,"Pinnate, compound, alternate","Upper side is dark-green, lower side is paler",Trifoliate i.e. a leaf divided into 3 leaflets,"Each leaflet is 8 to12 cm long, 6-8 cm wide","Fibrous, crooked, tortuous",Dark brown from outside,Turns bluish grey after ageing,Shows a reddish exudate,"Bright orange, fragrant with 5 petals",They are bisexual,Axillary racemes upto 40cm long,Flowering from February to April,"Pod 15-20 cm long, 4-5 cm broad",Fruit is flat legume,"Flat seeds 25-40 mm long, 15-25 mm thick, 1.5-2 mm thick",Young pods have velvety cover and mature ones hang down,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/wP_hE4_4dVs?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=wP_hE4_4dVs&index=18&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Near H12, behind Mechanical Dept. building(Eastside), behind SAC parking lot(Eastside)","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1ERRDRmig609x0yZ6XapGCRNXaP6twPZ0"" width=""640"" height=""480""></iframe>"
58,P,Parijat,Nyctanthes arbor-tristis,Deciduous,"Parijat also known as Coral jasmine is a large shrub or small tree with spreading branches, growing up to 10 metres tall.The plant is particularly valued for its flowers which are used in traditional medicine, as a dye and a source of an essential oil. The plant has very fragrant flowers and is widely cultivated as an ornamental in tropical and subtropical regions all over the world. It is often planted near Hindu temples in India and Sri Lanka, as well as in Malaysia and Indonesia.The tree is sometimes called the 'tree of sorrow', because the flowers lose their brightness during daytime; the scientific name arbor-tristis also means 'sad tree'.",Coral Jasmine,Tree of Sorrow,Queen of the Night,Shiuli,"Opposite, simple",Rough and hairy,6 to 12 cm long and 2 to 6.5 cm broad,Can be eaten with ginger to cure diseases,Flaky grey bark,Poisonous to animals and humans,Used as a tanning material,,"Fragrant, whitish",With five to eight-lobed white corolla,"With an orange,red centre","Open during night ,fall in the morning",Flat brown,Heart-shaped to round capsule,Upto 2 cm in diameter,Contains a single seed,,,,
59,P,Peepal,Ficus religiosa,Deciduous,"Ficus religiosa is a large dry season deciduous or semi evergreen tree up to 30 metre tall and with a trunk diameter of up to 3 m. It is one of the longest living growing tree in the world. It is unrivalled for its antiquity and religious significance. No other tree is claimed to have such long life: one in Sri Lanka, said to have been planted in the year 288 B.C., still lives and flourishes. It flowers in February and fruits in May to June. New leaves appear in April in India.",Holy Fig Tree,Sacred Fig Tree,Peepul,Aswattha,"Simple, pinnate, alternate, spiral","Broadly ovate, base truncate",Lamina 5-13 cm petiolule 60-120 mm long,"Apex caudate-accuminate, 8-10 pairs of lateral nerves","Smooth, hard, thick","Pale brown, grey in colour",Removal of cork is easy,,Unisexual flowers,Not visible from outside,Bloom inside the ensemble of fruits,Pollinated by specialized fig wasp,Fruit is a fig(Pear shaped),"Figs in pairs, rounded","Flat,topped green, 1 to 1.5 cm across",Ripening to purple with red dots,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/-VyVq6cHTNA?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=-VyVq6cHTNA&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=23,"Near Main gate, lakeside road, beside Convo hall(Northside)","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1tAOWyriD3FRa74Hz82o-9K8PL650LIew"" width=""640"" height=""480""></iframe>"
60,P,Pink Cassia,Cassia renigera,Deciduous,"Cassia is a genus of flowering plants in the legume family, Fabaceae, and the subfamily Caesalpinioideae. Pink Cassia is an ornamental garden and roadside tree. It is a small tree, reaches upto a height of 10m. In May when the large, showy flowers and tender, green leaves appear, it presents a strikingly beautiful picture, enhanced by the varied tones of pink in each small cluster. It is native to dry zone of upper Burma, now introduced into India and Malayasia.The ground under the tree is covered with a beautiful carpet of pink towards the end of the flowering season.",Burmese Pink Caassia,Appleblossom Cassia,Javanese Cassia,Pink and White Shower Tree,"Softly hairy,kidney shaped","Leaflets 10-21 pairs, oblong-elliptic","Leaflets  3.5-7 cm long, c. 1-2.5 cm broad. ",Stipules 1.5-2.5 cm long,"Light gray, smooth",Occasional spines or woody spurs line the trunk,Used as one of the ingredient in Ayurveda,,Pale pink to crimson,Yellow coloured stamens,Found in open clusters,Flowers in April/May,Long cylindrical dark brown pods,"Chocolate, Black","30 to 40 cm long, 1.5 cm in diameter","Contains a seed  which is surrounded by a viscous, brown pulp",,,,
61,P,Pomegranate,Punica granatum,Deciduous,"The pomegranate is a fruit-bearing deciduous shrub or small tree in the family Lythraceae that grows between 5 and 10 m tall. It bears fruit typically in season in the Northern Hemisphere from September to February, and in the Southern Hemisphere from March to May. Pomegranates have beautiful orange-red trumpet shaped flowers with ruffled petals. It is widely cultivated throughout the Middle East and Caucasus region, north and tropical Africa, South Asia, Central Asia, the drier parts of southeast Asia, and parts of the Mediterranean Basin. ",Anar,Kamphoi,Dalimb,Madulai,"Opposite or subopposite, glossy","Small, bright green","Narrow oblong, entire, 3 to 7 cm long and 2 cm broad",6 to 8 pairs of lateral nerves,Grey brown in colour,Rough ,5 to 8 mm thick,,"Bright red, odourless flowers",3 cm in diameter,Three to seven petals,Contains yellow colour anthers,Red-purple in color,4 to 10 cm in diameter,Made up of husk,Seeds are embeded in reddish pink colour husk,,,Inside NSS Nursery,
62,P,Pride of Barbados,Caesalpinia pulcherrima,Evergreen,"An evergreen tree is a species of flowering plant in the pea family, Fabaceae. It is commonly called as peacock flower or Barbados Pride, is a fast-growing upright shrub or small tree which typically grows 3 to (in shrub form) 6 m tall (in tree form). It is native to tropical America (probably the West Indies), but is now widely grown in tropical areas around the world for its long bloom of colorful flowers.This beautiful treelet, is also called Dwarf Poinciana due to the resemblence of its flowers and leaves to those of Gulmohar. ",Peacock Flower,Dwarf Poinciana,Guletura,Sankasur,Twice pinnate green,20 to 40 cm long,Bears 3 to 10 pairs of pinnae,Contains 6 to 10 pairs of leaflets,Grey brown in colour,Smooth 1 to 2 mm thick,Contains thorns 2 to 3 cm in length,,"Flower with five yellow, orange, or red petals",Up to 20 cm long,Bowl-shaped,Contains  elongated dark red stamens,Pods like fruit,6 to 12 cm long,Contains green seeds,Can be eaten after cooked,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/Qu8SOIc1BbA?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=Qu8SOIc1BbA&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=41,"Inside H4, H8, behind CRESIT(Southside)","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=15Il2NwG0BOZAmZ0E9C5tbTRuMGUThJvk"" width=""640"" height=""480""></iframe>"
63,P,Pride of India,Lagerstroemia speciosa,Deciduous,"Pride of India is a fast-growing, medium-sized, deciduous, sub-canopy tree with an upright, round crown. The tree usually grows 15 metres tall or more, with some specimens up to 26 m. The bole is around 60cm in diameter.It is grown in South East Asia, India and the Philippines. It is also widely cultivated as an ornamental plant in tropical and subtropical areas. A postal stamp was issued by the Indian Postal Department to commemorate flower of this plant.  ",Queen Crape-myrtle,Giant Crype-myrtle,Jarul,Taman,Oval to elliptic,8 to 15 cm long and 3 to 7 cm broad,"Opposite, distichous, simple",Stipules minute or absent,"Smooth, flaky bark",Small papery flakes,"Inner bark fibrous,grey light brown to yellow",,"Occurs in a large, axillary panicle                       ",White to pink or purple,Calyx funnel or bell shaped,Often contain 6 petals,Brown in colour,"Oval, round in shape",Looks similar to large woody capsule,Hard covered fruit,,,"Near H4, both sides of H8 to H11 road, lakeside road",
64,R,Rain Tree,Samanea saman,Deciduous,"An attractive, large, spreading deciduous tree with a low, dense, dome-shaped crown; usually growing up to 30 to 60m tall. It is usually recognised by its umbrella like canopy, feathery foliage and puffs of pink flowers. It has a short, usually crooked bole that can be up to 200cm in diameter. It has been widely introduced to South and Southeast Asia, as well as the Pacific Islands, including Hawaii.",Coco Tamarind,Saman,Monkey Pod,Vilaiti Siris,"Compound, bipinnate",4 to 8 pairs of primary pinna,"Have stipules green,deciduous",Each primary pinna has 3 to 7 leaflets,Dark greyish brown,"Rough, 2to 3 cm thick",Exfoliates in large brown flakes,,Pinkish white flowers,"Round, silken tufts","Tubeshaped calyx and a tiny, yellow-lobed, crimson trumpet",,"Mature pods are black-brown,oblong, lumpy","10 to 20 cm long, 15 to 19 mm wide","Thick, straight or  slightly curved","Sweet sticky, brownish pulp",,,Densly populated all over the institute,"<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1V04XeI4oKkM8lIkilN2ZVoZ5kI0xAfWb"" width=""640"" height=""480""></iframe>"
65,R,Ratangunj,Adenanthera pavonina,Deciduous,"A deciduous tree with a spreading crown of light, feathery foliage usually found in tropical region. It can reach upto a height of 6 to 20 metres with a bole up to 45cm in diameter.It is often found in countries like Brazil, especially in Caatinga vegetation, and in Costa Rica, Honduras, Cuba, Jamaica, Puerto Rico, Trinidad, Tobago, Venezuela, and the United States, especially in southern Florida. It is often grown as a specimen, several medical purposes and as a street tree. ",Coral Wood ,Red Wood,Ranjana,Raktchandan,"Compound, bipinnate","Green when young, turning yellow when old",With 8-21 leaflets on short stalks,"Oval-oblong, with an asymmetric base","Soft, smooth",Dark brown to greyish,"Inner bark soft, pale brown",,"Small, creamy yellow, fragrant",Star shaped with 5 petals,12-15 cm long,Borne in narrow spikelike racemes,Green pods that turn brown ones ripen,Pods long and narrow,Contain red colour seeds  7.5-9 mm indiameter,"Lens shaped, vivid scarlet","<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/IOV9CZCQrDI?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=IOV9CZCQrDI&index=14&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,,
66,R,Ramphal,Annona reticulata,Deciduous,"A small deciduous tree reaching 8 metres (26 ft) to 10 metres (33 ft) tall with an open, irregular crown. It is native to Caribbean and Central America. It is generally  found growing between altitudes of 0 metres to 1,500 metres in different areas of Central America. It is also found in many parts of the world, including Southeast Asia, Taiwan, India, Bangladesh, Pakistan, Australia, and Africa. It is worldwide known for its sweet juicy fruit Custard apple.",Netted Custard Apple,Bullock's Heart,Wild Sweetsop,Krishnabija,"Hairless, straight and pointed at the apex",10 to 20 cm long,Pinnately veined,Have leaf stalks. Stipules absent,"Fibrous, fissured",Dark brown in colour,0.5 to1 cm thick,,"Small, yellowish green",Found in 3 to 4 clusters ,2 to 3 cm in diameter,Made up of 3 long outer petals and 3 very small inner ones,"Heart-shaped, spherical, oblong or irregular",7 cm to 12 cm,Brownish yellow  after ripen,"Pulp white, juicy ans sweet and contain black seeds",,,,
67,S,Sandpaper,Streblus asper,Evergreen,"Sand Paper Tree is a rigid and densely branched tree growing to 4 to10m in height. This medium sized tree native to dry regions in Cambodia, Thailand, India, Sri Lanka, Malaysia, and Vietnam. It has been important in papermaking in Thailand for seven hundred years. True to its name, the leaves of Sand Paper Tree are rough and are utilized for cleaning cooking utensils and as a substitute for sandpaper. ",Siamese Rough Bush,Toothbrush Tree,Kharoti,Sihora,"Simple, alternate, spiral with serrated margin","Obtuse base, acuminate apex, rough on both sides","Lamina is 3 to 10cm long, 1 to 2.5cm wide",4 to 10 pairs of lateral pinnate nerves,"Smooth, light grey ",10 to 20mm thick bark,Milky white latex comes after a cut,,Minute greenish yellow flowers,They are unisexual,Male and female flowers on same tree,Occur solitary or clusters of 2 to 5,Fruit is a drupe,6 to 8mm in diameter,Yellow to orange with 1 seed,Seed is round and greyish white,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/EF9UVsX-XLc?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=EF9UVsX-XLc&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=13,"Lakeside road, near Gulmohar cafetaria, inside Kshitij garden","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1fQ_iwq2iFuV5faKntvBGbcW0MskGIPkD"" width=""640"" height=""480""></iframe>"
68,S,Saptparni,Alstonia scholaris,Evergreen,"Saptparni belongs to family Apocynaceae. This elegant tree is native to the Indian subcontinent, Indomalaya, Malesia, and Australasia. On the Western Ghats, tribal people are reluctant to sit or pass under this tree, for the fear of the devil. Local superstition about its devilish character mainly stems from the fact that its milky sap which is poisonous, and thus the tree is shunned by cattle. Its bark is used in traditional medicine to treat dysentery and fever.",Milkwood Pine,Devil Tree,Chitvan,Shaitan ka Jhad,"Simple, occur in whorls of 3 to 10","Dark green, glossy, leathery","Lamina is 5 to 20cm long, 3-7cm wide",Obvate to oblong with entire margin,"Rough, grey brown",Irregularly cracked,Shallowly fissured,,"Small, fragrant, greenish white",They are bisexual,"10 to 12mm long, appear in clusters",Blooms in month of October,20 to 50cm long pod,Bursts open to release seeds,Oblong flat seeds,Seed ends have tufts of long hairs,,,"Near library, Inside H9","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1SVtPcHCpZ0xqvLCfV_jo0mF2Z2zc0T0v"" width=""640"" height=""480""></iframe>"
69,S,Shisham,Dalbergia Sissoo,Deciduous,"Shisham is a medium to large deciduous tree with a light crown. This tree is state tree of Punjab. Grows up to a maximum height of 25m with 2 to 3m in diameter. This fast growing tree is native to the Indian Subcontinent and Southern Iran. Shisham is best known internationally as a premier timber species. After teak, it is the most important cultivated timber tree in India. It is planted on roadsides and as a shade tree for tree plantations.",Indian Rosewood,Indian Blackwood,Sissoo,Shisau,"Compound, pinnate, alternate",Leathery and about 15cm long,Each leaf has 3 to 5 leaflets,"Leaflets are ovate at base, pointed at apex","Rough, greyish brown",Fissures vertically,Exfoliates in large pale brown flakes,,Whitish to pink fragrant flowers,5mm to 1.5cm in length,Borne in 5 to 10cm long racemes,Appear in dense clusters,"Oblong, flat, thin pods","Light brown, 4 to 8cm long",Each contains 1 to 5 seeds,"Seeds are kideny shaped, thin, and flat",,,"Near H6, behind Kshitij (Southside)","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1P9jRcvloZRBZe9iBkqUb-RR9Rpsll84H"" width=""640"" height=""480""></iframe>"
70,S,Shivan,Gmelina arborea,Deciduous,"Shivan is a fast growing deciduous tree, occurring naturally throughout greater part of India. It also occurs naturally in Myanmar, Thailand, Laos, Cambodia, Vietnam, and in southern provinces of China. It can grow from 3 to 30 metres tall, sometimes even taller. It has a chlorophyll layer just under the outer bark. The straight, cylindrical bole is around 50 cm in diameter. his tree is commonly planted as a garden and an avenue tree.",Gamar,Gmelina,White Teak,Kashmir Tree,"Simple, opposite with long stalk",Cordate base with acute apex,"5 to 12cm long, coated with soft hairs",3 to 6 pairs of pinnate lateral nerves,White inside,Pale yellowish brown outside,Exfoliates in large brown flakes,,"Small, yellow with orange pink shade",They are bisexual,Occur in clusters at branchtips,Flowering from February to April,Fruit is a drupe,"Smooth, dark green when unripe",Yellow when ripe and has fruity smell,2 to 4 elliptic seeds,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/Wpxaq28uGGA?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=Wpxaq28uGGA&index=11&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Behind SOM(Southside), at T point",
